name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,parenteral,topical,oral,exactmw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumBridgeheadAtoms,NumAtomStereoCenters,CrippenClogP
BETAINE,CHEMBL95889,C[N+](C)(C)CC(=O)O,1996,BETAINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,118.08625504409,3.0,1.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22280000000000016
TROMETHAMINE,CHEMBL1200391,NC(CO)(CO)CO,1965,Alkalizer,Small molecule,False,True,False,False,False,True,False,False,121.073893212,4.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3391999999999995
PYRAZINAMIDE,CHEMBL614,NC(=O)c1cnccn1,1971,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,123.04326178,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.4245000000000001
DIMERCAPROL,CHEMBL1597,OCC(S)CS,1946,Antidote (to arsenic and gold and mercury poisoning),Small molecule,False,True,False,False,False,True,False,False,124.001656876,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20690000000000003
MEQUINOL,CHEMBL544,COc1ccc(O)cc1,1999,,Small molecule,False,True,False,False,False,False,True,False,124.052429496,2.0,1.0,1.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4008
FOSCARNET,CHEMBL666,O=C(O)P(=O)(O)O,1991,FOSCARNET SODIUM,Small molecule,False,True,False,False,False,True,False,False,125.971809826,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1579000000000001
PYRITHIONE,CHEMBL1650619,On1ccccc1=S,1986,PYRITHIONE ZINC,Small molecule,False,True,False,False,False,False,True,False,127.00918478,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.45489
FLUCYTOSINE,CHEMBL1463,Nc1nc(=O)[nH]cc1F,1971,Antifungal,Small molecule,False,True,False,False,True,False,False,True,129.033839968,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.5088000000000001
VIGABATRIN,CHEMBL89598,C=CC(N)CCC(=O)O,2009,Anticonvulsant (tardive dyskinesia),Small molecule,False,True,False,False,False,False,False,True,129.078978592,3.0,3.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36450000000000005
METFORMIN,CHEMBL1431,CN(C)C(=N)NC(=N)N,1995,METFORMIN HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,129.10144535199998,5.0,5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.034159999999999
FLUOROURACIL,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,1962,Antineoplastic,Small molecule,False,True,False,False,True,True,True,False,130.017855556,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.7977000000000001
MONOMETHYL FUMARATE,CHEMBL589586,COC(=O)/C=C/C(=O)O,2020,,Small molecule,False,True,False,False,False,False,False,True,130.026608672,4.0,1.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19980000000000003
AMINOLEVULINIC ACID,CHEMBL601,NCC(=O)CCC(=O)O,1999,AMINOLEVULINIC ACID HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False,131.058243148,4.0,3.0,4.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6210000000000004
AMINOCAPROIC ACID,CHEMBL1046,NCCCCCC(=O)O,1964,Hemostatic,Small molecule,False,True,False,False,False,True,False,True,131.094628656,3.0,3.0,5.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5901000000000001
TRANYLCYPROMINE,CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1,1961,TRANYLCYPROMINE SULFATE,Small molecule,False,True,False,False,False,False,False,True,133.089149352,1.0,2.0,1.0,0.0,0.3333333333333333,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5011999999999999
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1,1955,AMPHETAMINE ASPARTATE,Small molecule,False,True,False,False,False,False,False,True,135.104799416,1.0,2.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5763
DEXTROAMPHETAMINE,CHEMBL612,C[C@H](N)Cc1ccccc1,1955,DEXTROAMPHETAMINE SACCHARATE,Small molecule,False,True,False,False,False,False,True,True,135.104799416,1.0,2.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5763
ALLOPURINOL,CHEMBL1467,Oc1ncnc2[nH]ncc12,1966,ALLOPURINOL SODIUM,Small molecule,False,True,False,False,False,True,False,True,136.038510748,5.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.058499999999999885
SODIUM PHENYLACETATE,CHEMBL1200358,O=C(O)Cc1ccccc1,1987,Antihyperammonemic,Small molecule,False,True,False,False,False,True,False,True,136.052429496,2.0,1.0,2.0,0.0,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3137
BETAHISTINE,CHEMBL24441,CNCCc1ccccn1,1973.0,Vasodilator,Small molecule,True,True,False,False,False,False,False,True,136.100048384,2.0,1.0,3.0,0.0,0.375,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8434999999999999
PHENELZINE,CHEMBL1089,NNCCc1ccccc1,1961,PHENELZINE SULFATE,Small molecule,False,True,False,False,False,False,False,True,136.100048384,2.0,3.0,3.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923999999999992
AMINOBENZOIC ACID,CHEMBL542,Nc1ccc(C(=O)O)cc1,not found,"Analgesic,Ultraviolet Screen",Small molecule,False,True,False,False,False,False,True,True,137.047678464,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9670000000000001
METHYL NICOTINATE,CHEMBL379845,COC(=O)c1cccnc1,2011.0,Topical Analgesic,Small molecule,False,True,False,False,False,False,True,False,137.047678464,3.0,0.0,1.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8681999999999999
ISONIAZID,CHEMBL64,NNC(=O)c1ccncc1,1952,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,False,True,137.058911844,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.3149000000000006
PRALIDOXIME,CHEMBL1420,C[n+]1ccccc1C=NO,1964,PRALIDOXIME CHLORIDE,Small molecule,False,True,False,False,False,True,False,True,137.07093932809,3.0,1.0,1.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3191999999999999
FOSFOMYCIN,CHEMBL1757,C[C@@H]1O[C@@H]1P(=O)(O)O,1996,FOSFOMYCIN TROMETHAMINE,Small molecule,False,True,False,False,False,False,False,True,138.008195334,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,-0.09110000000000007
SALICYLIC ACID,CHEMBL424,O=C(O)c1ccccc1O,9999,SODIUM SALICYLATE,Small molecule,False,True,False,False,False,False,True,False,138.031694052,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0903999999999998
DEFERIPRONE,CHEMBL70927,Cc1c(O)c(=O)ccn1C,1999,,Small molecule,False,True,False,False,False,False,False,True,139.063328528,3.0,1.0,0.0,0.0,0.2857142857142857,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.39931999999999984
METHENAMINE,CHEMBL1201270,C1N2CN3CN1CN(C2)C3,1967,METHENAMINE HIPPURATE,Small molecule,False,True,False,False,False,False,False,True,140.106196384,4.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,-1.0197999999999992
ETHOSUXIMIDE,CHEMBL696,CCC1(C)CC(=O)NC1=O,1960,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,141.078978592,3.0,1.0,1.0,2.0,0.7142857142857143,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.4491999999999999
ISOMETHEPTENE,CHEMBL1697841,CNC(C)CCC=C(C)C,1948.0,Migraine,Small molecule,True,True,False,False,False,False,False,True,141.151749608,1.0,1.0,4.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3407
PIRACETAM,CHEMBL36715,NC(=O)CN1CCCC1=O,not found,Cognition Adjuvant,Small molecule,False,True,False,False,False,False,False,False,142.07422756,4.0,2.0,2.0,2.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.9059000000000004
TRIMETHADIONE,CHEMBL695,CN1C(=O)OC(C)(C)C1=O,1946,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,143.058243148,4.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.37359999999999993
ETHCHLORVYNOL,CHEMBL591,C#CC(O)(/C=C/Cl)CC,1961,Sedative-Hypnotic,Small molecule,False,True,False,False,False,False,False,True,144.034192588,1.0,1.0,2.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5132
DIMETHYL FUMARATE,CHEMBL2107333,COC(=O)/C=C/C(=O)OC,2013,,Small molecule,False,True,False,False,False,False,False,True,144.042258736,4.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11140000000000017
VALPROIC ACID,CHEMBL109,CCCC(CCC)C(=O)O,1978,DIVALPROEX SODIUM,Small molecule,False,True,False,False,False,True,False,True,144.115029752,2.0,1.0,5.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2874
METHYL AMINOLEVULINATE,CHEMBL1096562,COC(=O)CCC(=O)CN,2004,METHYL AMINOLEVULINATE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False,145.073893212,4.0,2.0,4.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5326000000000002
ISOSORBIDE,CHEMBL1200660,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,1974,Diuretic,Small molecule,False,True,False,False,True,False,False,True,146.0579088,4.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,-1.4942000000000004
GLUTAMINE,CHEMBL930,NC(=O)CC[C@H](N)C(=O)O,2004,,Small molecule,False,True,False,False,False,False,False,True,146.06914218,5.0,5.0,4.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.3361999999999998
ACETYLCHOLINE,CHEMBL667,CC(=O)OCC[N+](C)(C)C,1973,ACETYLCHOLINE CHLORIDE,Small molecule,False,True,False,False,False,False,True,False,146.11755517209,3.0,0.0,3.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25570000000000004
TRIENTINE,CHEMBL609,NCCNCCNCCN,1985,TRIENTINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,146.15314657599998,4.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.916999999999998
GLUTAMIC ACID HYDROCHLORIDE,CHEMBL1255943,N[C@@H](CCC(=O)O)C(=O)O,1988.0,Replenisher Adjunct,Small molecule,False,True,False,False,False,True,False,False,147.053157768,5.0,4.0,4.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7368999999999997
CARBACHOL,CHEMBL965,C[N+](C)(C)CCOC(N)=O,1972,CARBACHOL,Small molecule,False,True,False,False,False,True,False,False,147.11280414009,4.0,2.0,3.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2121000000000003
PENICILLAMINE,CHEMBL1430,CC(C)(S)[C@@H](N)C(=O)O,1970,Chelating Agent,Small molecule,False,True,False,False,False,False,False,True,149.051049592,3.0,3.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10669999999999985
METHAMPHETAMINE,CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,1943,METHAMPHETAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,149.12044948,1.0,1.0,3.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.837
PHENTERMINE,CHEMBL1574,CC(C)(N)Cc1ccccc1,1959,PHENTERMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,149.12044948,1.0,2.0,2.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9664
ACETAMINOPHEN,CHEMBL112,CC(=O)Nc1ccc(O)cc1,1968,Analgesic; Antipyretic,Small molecule,False,True,False,False,False,True,True,True,151.063328528,3.0,2.0,1.0,1.0,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3505999999999998
PHENYLPROPANOLAMINE,CHEMBL61006,CC(N)C(O)c1ccccc1,1958,PHENYLPROPANOLAMINE HYDROCHLORIDE,Small molecule,True,True,False,False,False,False,False,True,151.099714036,2.0,3.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0672000000000001
HYDROXYAMPHETAMINE,CHEMBL1546,CC(N)Cc1ccc(O)cc1,1969,HYDROXYAMPHETAMINE HYDROBROMIDE,Small molecule,False,True,False,False,False,False,True,False,151.099714036,2.0,3.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2819
AMANTADINE,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,1968,AMANTADINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,151.136099544,1.0,2.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.9139
MERCAPTOPURINE,CHEMBL1425,Sc1ncnc2nc[nH]c12,1953,MERCAPTOPURINE,Small molecule,False,True,False,False,False,False,False,True,152.015667128,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.6416
TAVABOROLE,CHEMBL443052,OB1OCc2cc(F)ccc21,2014,,Small molecule,False,True,False,False,False,False,True,False,152.044488052,2.0,1.0,0.0,0.0,0.14285714285714285,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.043399999999999994
METHENAMINE MANDELATE,CHEMBL3833312,O=C(O)C(O)c1ccccc1,1967.0,Antibacterial,Small molecule,False,True,False,False,False,False,False,True,152.04734411599998,3.0,2.0,2.0,0.0,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8046
CAMPHOR,CHEMBL504760,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,1983.0,Antipruritic,Small molecule,False,True,False,False,False,False,True,False,152.120115132,1.0,0.0,0.0,0.0,0.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.401700000000001
MESALAMINE,CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,1987,Anti-Inflammatory,Small molecule,False,True,False,False,False,False,True,True,153.042593084,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726000000000001
AMINOSALICYLIC ACID,CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,1950,AMINOSALICYLATE POTASSIUM,Small molecule,False,True,False,False,False,False,False,True,153.042593084,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726000000000001
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1,1974,DOPAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,153.078978592,3.0,4.0,2.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5989999999999998
ACIPIMOX,CHEMBL345714,Cc1cnc(C(=O)O)c[n+]1[O-],not found,Hypolipidemic,Small molecule,False,True,False,False,False,False,False,False,154.037842052,5.0,1.0,1.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.2783799999999999
MECHLORETHAMINE,CHEMBL427,CN(CCCl)CCCl,1949,MECHLORETHAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,False,155.026854712,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3958
CHLOROXYLENOL,CHEMBL398440,Cc1cc(O)cc(C)c1Cl,not found,Antibacterial,Small molecule,False,True,False,False,False,False,False,False,156.034192588,1.0,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662440000000001
MENTHOL,CHEMBL256087,CC1CCC(C(C)C)C(O)C1,2008,Antipruritic (topical),Small molecule,False,True,False,False,False,False,True,False,156.15141526,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.4395000000000007
PARAMETHADIONE,CHEMBL1100,CCC1(C)OC(=O)N(C)C1=O,1949,,Small molecule,False,True,False,False,False,False,False,True,157.073893212,4.0,0.0,1.0,2.0,0.7142857142857143,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7637
TRANEXAMIC ACID,CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,1986,Hemostatic,Small molecule,False,True,False,False,False,True,False,True,157.11027872,3.0,3.0,2.0,0.0,0.875,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8361000000000001
PARGYLINE,CHEMBL673,C#CCN(C)Cc1ccccc1,1982,PARGYLINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,159.104799416,1.0,0.0,3.0,0.0,0.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7516
PREGABALIN,CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O,2004,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,159.125928784,3.0,3.0,5.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0821
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12,1953,HYDRALAZINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,True,160.074896256,4.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9153999999999998
TOLAZOLINE,CHEMBL770,c1ccc(CC2=NCCN2)cc1,1985,TOLAZOLINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,160.100048384,2.0,1.0,2.0,0.0,0.3,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2308
METHACHOLINE,CHEMBL978,CC(=O)OC(C)C[N+](C)(C)C,1986,METHACHOLINE CHLORIDE,Small molecule,False,True,False,False,False,False,True,False,160.13320523609,3.0,0.0,3.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6441999999999999
CLOMETHIAZOLE,CHEMBL315795,Cc1ncsc1CCCl,not found,Sedative-Hypnotic,Small molecule,False,True,False,False,False,False,False,False,161.006597936,1.0,0.0,2.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.2328200000000002
BETHANECHOL,CHEMBL1482,CC(C[N+](C)(C)C)OC(N)=O,1948,BETHANECHOL CHLORIDE,Small molecule,False,True,False,False,False,True,False,True,161.12845420409,4.0,2.0,3.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1764
TRICHLOROACETIC ACID,CHEMBL14053,O=C(O)C(Cl)(Cl)Cl,not found,,Small molecule,False,True,False,False,False,False,False,False,161.904212312,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4412
NICOTINE,CHEMBL3,CN1CCC[C@H]1c1cccnc1,1984,NICOTINE BITARTRATE,Small molecule,False,True,False,False,False,False,True,True,162.115698448,2.0,0.0,1.0,0.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.8483
TIOPRONIN,CHEMBL1314,CC(S)C(=O)NCC(=O)O,1988,,Small molecule,False,True,False,False,False,False,False,True,163.030314148,4.0,2.0,3.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.49450000000000044
MIGALASTAT,CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,2018,MIGALASTAT HYDROCHLORIDE,Small molecule,False,True,False,False,True,False,False,True,163.084457896,5.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,-2.9667999999999988
MEPHENTERMINE,CHEMBL1201234,CNC(C)(C)Cc1ccccc1,1951,MEPHENTERMINE SULFATE,Small molecule,False,True,False,False,False,True,False,False,163.136099544,1.0,1.0,3.0,0.0,0.45454545454545453,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2271
