name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,oral,parenteral,topical
METHIMAZOLE,CHEMBL1515,Cn1ccnc1S,1950,Thyroid Inhibitor,Small molecule,False,True,False,False,False,True,False,False
AMYL NITRITE,CHEMBL3833339,CC(C)CCON=O,1979.0,Antihypertensive,Small molecule,False,True,False,False,False,False,False,False
BETAINE,CHEMBL95889,C[N+](C)(C)CC(=O)O,1996,BETAINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
TROMETHAMINE,CHEMBL1200391,NC(CO)(CO)CO,1965,Alkalizer,Small molecule,False,True,False,False,False,False,True,False
PYRAZINAMIDE,CHEMBL614,NC(=O)c1cnccn1,1971,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,False,False
DIMERCAPROL,CHEMBL1597,OCC(S)CS,1946,Antidote (to arsenic and gold and mercury poisoning),Small molecule,False,True,False,False,False,False,True,False
MEQUINOL,CHEMBL544,COc1ccc(O)cc1,1999,,Small molecule,False,True,False,False,False,False,False,True
FOSCARNET,CHEMBL666,O=C(O)P(=O)(O)O,1991,FOSCARNET SODIUM,Small molecule,False,True,False,False,False,False,True,False
PYRITHIONE,CHEMBL1650619,On1ccccc1=S,1986,PYRITHIONE ZINC,Small molecule,False,True,False,False,False,False,False,True
FLUCYTOSINE,CHEMBL1463,Nc1nc(=O)[nH]cc1F,1971,Antifungal,Small molecule,False,True,False,False,True,True,False,False
VIGABATRIN,CHEMBL89598,C=CC(N)CCC(=O)O,2009,Anticonvulsant (tardive dyskinesia),Small molecule,False,True,False,False,False,True,False,False
METFORMIN,CHEMBL1431,CN(C)C(=N)NC(=N)N,1995,METFORMIN HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
FLUOROURACIL,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,1962,Antineoplastic,Small molecule,False,True,False,False,True,False,True,True
MONOMETHYL FUMARATE,CHEMBL589586,COC(=O)/C=C/C(=O)O,2020,,Small molecule,False,True,False,False,False,True,False,False
AMINOLEVULINIC ACID,CHEMBL601,NCC(=O)CCC(=O)O,1999,AMINOLEVULINIC ACID HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True
AMINOCAPROIC ACID,CHEMBL1046,NCCCCCC(=O)O,1964,Hemostatic,Small molecule,False,True,False,False,False,True,True,False
TRANYLCYPROMINE,CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1,1961,TRANYLCYPROMINE SULFATE,Small molecule,False,True,False,False,False,True,False,False
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1,1955,AMPHETAMINE ASPARTATE,Small molecule,False,True,False,False,False,True,False,False
DEXTROAMPHETAMINE,CHEMBL612,C[C@H](N)Cc1ccccc1,1955,DEXTROAMPHETAMINE SACCHARATE,Small molecule,False,True,False,False,False,True,False,True
ALLOPURINOL,CHEMBL1467,Oc1ncnc2[nH]ncc12,1966,ALLOPURINOL SODIUM,Small molecule,False,True,False,False,False,True,True,False
SODIUM PHENYLACETATE,CHEMBL1200358,O=C(O)Cc1ccccc1,1987,Antihyperammonemic,Small molecule,False,True,False,False,False,True,True,False
BETAHISTINE,CHEMBL24441,CNCCc1ccccn1,1973.0,Vasodilator,Small molecule,True,True,False,False,False,True,False,False
PHENELZINE,CHEMBL1089,NNCCc1ccccc1,1961,PHENELZINE SULFATE,Small molecule,False,True,False,False,False,True,False,False
AMINOBENZOIC ACID,CHEMBL542,Nc1ccc(C(=O)O)cc1,not found,"Analgesic,Ultraviolet Screen",Small molecule,False,True,False,False,False,True,False,True
METHYL NICOTINATE,CHEMBL379845,COC(=O)c1cccnc1,2011.0,Topical Analgesic,Small molecule,False,True,False,False,False,False,False,True
ISONIAZID,CHEMBL64,NNC(=O)c1ccncc1,1952,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,True,False
PRALIDOXIME,CHEMBL1420,C[n+]1ccccc1C=NO,1964,PRALIDOXIME CHLORIDE,Small molecule,False,True,False,False,False,True,True,False
FOSFOMYCIN,CHEMBL1757,C[C@@H]1O[C@@H]1P(=O)(O)O,1996,FOSFOMYCIN TROMETHAMINE,Small molecule,False,True,False,False,False,True,False,False
SALICYLIC ACID,CHEMBL424,O=C(O)c1ccccc1O,9999,SODIUM SALICYLATE,Small molecule,False,True,False,False,False,False,False,True
DEFERIPRONE,CHEMBL70927,Cc1c(O)c(=O)ccn1C,1999,,Small molecule,False,True,False,False,False,True,False,False
METHENAMINE,CHEMBL1201270,C1N2CN3CN1CN(C2)C3,1967,METHENAMINE HIPPURATE,Small molecule,False,True,False,False,False,True,False,False
ETHOSUXIMIDE,CHEMBL696,CCC1(C)CC(=O)NC1=O,1960,Anticonvulsant,Small molecule,False,True,False,False,False,True,False,False
ISOMETHEPTENE,CHEMBL1697841,CNC(C)CCC=C(C)C,1948.0,Migraine,Small molecule,True,True,False,False,False,True,False,False
PIRACETAM,CHEMBL36715,NC(=O)CN1CCCC1=O,not found,Cognition Adjuvant,Small molecule,False,True,False,False,False,False,False,False
TRIMETHADIONE,CHEMBL695,CN1C(=O)OC(C)(C)C1=O,1946,Anticonvulsant,Small molecule,False,True,False,False,False,True,False,False
ETHCHLORVYNOL,CHEMBL591,C#CC(O)(/C=C/Cl)CC,1961,Sedative-Hypnotic,Small molecule,False,True,False,False,False,True,False,False
DIMETHYL FUMARATE,CHEMBL2107333,COC(=O)/C=C/C(=O)OC,2013,,Small molecule,False,True,False,False,False,True,False,False
VALPROIC ACID,CHEMBL109,CCCC(CCC)C(=O)O,1978,DIVALPROEX SODIUM,Small molecule,False,True,False,False,False,True,True,False
METHYL AMINOLEVULINATE,CHEMBL1096562,COC(=O)CCC(=O)CN,2004,METHYL AMINOLEVULINATE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True
ISOSORBIDE,CHEMBL1200660,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,1974,Diuretic,Small molecule,False,True,False,False,True,True,False,False
GLUTAMINE,CHEMBL930,NC(=O)CC[C@H](N)C(=O)O,2004,,Small molecule,False,True,False,False,False,True,False,False
ACETYLCHOLINE,CHEMBL667,CC(=O)OCC[N+](C)(C)C,1973,ACETYLCHOLINE CHLORIDE,Small molecule,False,True,False,False,False,False,False,True
TRIENTINE,CHEMBL609,NCCNCCNCCN,1985,TRIENTINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
GLUTAMIC ACID HYDROCHLORIDE,CHEMBL1255943,N[C@@H](CCC(=O)O)C(=O)O,1988.0,Replenisher Adjunct,Small molecule,False,True,False,False,False,False,True,False
CARBACHOL,CHEMBL965,C[N+](C)(C)CCOC(N)=O,1972,CARBACHOL,Small molecule,False,True,False,False,False,False,True,False
PENICILLAMINE,CHEMBL1430,CC(C)(S)[C@@H](N)C(=O)O,1970,Chelating Agent,Small molecule,False,True,False,False,False,True,False,False
METHAMPHETAMINE,CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,1943,METHAMPHETAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
PHENTERMINE,CHEMBL1574,CC(C)(N)Cc1ccccc1,1959,PHENTERMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
ACETAMINOPHEN,CHEMBL112,CC(=O)Nc1ccc(O)cc1,1968,Analgesic; Antipyretic,Small molecule,False,True,False,False,False,True,True,True
PHENYLPROPANOLAMINE,CHEMBL61006,CC(N)C(O)c1ccccc1,1958,PHENYLPROPANOLAMINE HYDROCHLORIDE,Small molecule,True,True,False,False,False,True,False,False
HYDROXYAMPHETAMINE,CHEMBL1546,CC(N)Cc1ccc(O)cc1,1969,HYDROXYAMPHETAMINE HYDROBROMIDE,Small molecule,False,True,False,False,False,False,False,True
AMANTADINE,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,1968,AMANTADINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
MERCAPTOPURINE,CHEMBL1425,Sc1ncnc2nc[nH]c12,1953,MERCAPTOPURINE,Small molecule,False,True,False,False,False,True,False,False
TAVABOROLE,CHEMBL443052,OB1OCc2cc(F)ccc21,2014,,Small molecule,False,True,False,False,False,False,False,True
METHENAMINE MANDELATE,CHEMBL3833312,O=C(O)C(O)c1ccccc1,1967.0,Antibacterial,Small molecule,False,True,False,False,False,True,False,False
CAMPHOR,CHEMBL504760,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,1983.0,Antipruritic,Small molecule,False,True,False,False,False,False,False,True
MESALAMINE,CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,1987,Anti-Inflammatory,Small molecule,False,True,False,False,False,True,False,True
AMINOSALICYLIC ACID,CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,1950,AMINOSALICYLATE POTASSIUM,Small molecule,False,True,False,False,False,True,False,False
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1,1974,DOPAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False
ACIPIMOX,CHEMBL345714,Cc1cnc(C(=O)O)c[n+]1[O-],not found,Hypolipidemic,Small molecule,False,True,False,False,False,False,False,False
MECHLORETHAMINE,CHEMBL427,CN(CCCl)CCCl,1949,MECHLORETHAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,True
CHLOROXYLENOL,CHEMBL398440,Cc1cc(O)cc(C)c1Cl,not found,Antibacterial,Small molecule,False,True,False,False,False,False,False,False
MENTHOL,CHEMBL256087,CC1CCC(C(C)C)C(O)C1,2008,Antipruritic (topical),Small molecule,False,True,False,False,False,False,False,True
PARAMETHADIONE,CHEMBL1100,CCC1(C)OC(=O)N(C)C1=O,1949,,Small molecule,False,True,False,False,False,True,False,False
TRANEXAMIC ACID,CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,1986,Hemostatic,Small molecule,False,True,False,False,False,True,True,False
PARGYLINE,CHEMBL673,C#CCN(C)Cc1ccccc1,1982,PARGYLINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
PREGABALIN,CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O,2004,Anticonvulsant,Small molecule,False,True,False,False,False,True,False,False
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12,1953,HYDRALAZINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,False
TOLAZOLINE,CHEMBL770,c1ccc(CC2=NCCN2)cc1,1985,TOLAZOLINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False
METHACHOLINE,CHEMBL978,CC(=O)OC(C)C[N+](C)(C)C,1986,METHACHOLINE CHLORIDE,Small molecule,False,True,False,False,False,False,False,True
CLOMETHIAZOLE,CHEMBL315795,Cc1ncsc1CCCl,not found,Sedative-Hypnotic,Small molecule,False,True,False,False,False,False,False,False
BETHANECHOL,CHEMBL1482,CC(C[N+](C)(C)C)OC(N)=O,1948,BETHANECHOL CHLORIDE,Small molecule,False,True,False,False,False,True,True,False
TRICHLOROACETIC ACID,CHEMBL14053,O=C(O)C(Cl)(Cl)Cl,not found,,Small molecule,False,True,False,False,False,False,False,False
NICOTINE,CHEMBL3,CN1CCC[C@H]1c1cccnc1,1984,NICOTINE BITARTRATE,Small molecule,False,True,False,False,False,True,False,True
TIOPRONIN,CHEMBL1314,CC(S)C(=O)NCC(=O)O,1988,,Small molecule,False,True,False,False,False,True,False,False
MIGALASTAT,CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,2018,MIGALASTAT HYDROCHLORIDE,Small molecule,False,True,False,False,True,True,False,False
MEPHENTERMINE,CHEMBL1201234,CNC(C)(C)Cc1ccccc1,1951,MEPHENTERMINE SULFATE,Small molecule,False,True,False,False,False,False,True,False
CHLORAL HYDRATE,CHEMBL455917,OC(O)C(Cl)(Cl)Cl,not found,Sedative-Hypnotic,Small molecule,True,True,False,False,False,False,False,False
METHOXYFLURANE,CHEMBL1341,COC(F)(F)C(Cl)Cl,not found,Anesthetic (inhalation),Small molecule,True,True,False,False,False,False,False,True
PHENYLBUTANOIC ACID,CHEMBL1469,O=C(O)CCCc1ccccc1,1996,SODIUM PHENYLBUTYRATE,Small molecule,False,True,False,False,False,True,False,False
BENZOCAINE,CHEMBL278172,CCOC(=O)c1ccc(N)cc1,1963.0,Anesthetic (topical),Small molecule,False,True,False,False,False,False,False,True
PSEUDOEPHEDRINE,CHEMBL1590,CN[C@@H](C)[C@@H](O)c1ccccc1,1963,PSEUDOEPHEDRINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,True
EPHEDRINE,CHEMBL211456,CN[C@@H](C)[C@H](O)c1ccccc1,2016,EPHEDRINE HYDROCHLORIDE,Small molecule,True,True,False,False,False,False,True,False
ETHIONAMIDE,CHEMBL1441,CCc1cc(C(N)=S)ccn1,1965,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,False,False
THIOGUANINE,CHEMBL727,Nc1nc2[nH]cnc2c(=S)[nH]1,1966,Antineoplastic,Small molecule,False,True,False,False,True,True,False,False
ETHINAMATE,CHEMBL1576,C#CC1(OC(N)=O)CCCCC1,1982,,Small molecule,False,True,False,False,False,True,False,False
METARAMINOL,CHEMBL1201319,C[C@H](N)[C@H](O)c1cccc(O)c1,1954,METARAMINOL BITARTRATE,Small molecule,False,True,False,False,False,False,True,False
PHENYLEPHRINE,CHEMBL1215,CNC[C@H](O)c1cccc(O)c1,1952,PHENYLEPHRINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,True
MECAMYLAMINE,CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C,1956,MECAMYLAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
DESFLURANE,CHEMBL1200733,FC(F)OC(F)C(F)(F)F,1992,Anesthetic,Small molecule,False,True,False,False,False,False,False,True
CHLORZOXAZONE,CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,1958,Relaxant (skeletal muscle),Small molecule,False,True,False,False,False,True,False,False
NOREPINEPHRINE,CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,1950,NOREPINEPHRINE BITARTRATE,Small molecule,False,True,False,False,False,False,True,False
PROPYLTHIOURACIL,CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,1947,Thyroid Inhibitor,Small molecule,False,True,False,False,True,True,False,False
LEVETIRACETAM,CHEMBL1286,CC[C@@H](C(N)=O)N1CCCC1=O,1999,,Small molecule,False,True,False,False,False,True,True,False
METRONIDAZOLE,CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,1963,METRONIDAZOLE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,True
RASAGILINE,CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,2006,RASAGILINE MESYLATE,Small molecule,False,True,False,False,False,True,False,False
GABAPENTIN,CHEMBL940,NCC1(CC(=O)O)CCCCC1,1993,Anticonvulsant,Small molecule,False,True,False,False,False,True,False,False
SULFANILAMIDE,CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1,1985,,Small molecule,False,True,False,False,False,False,False,True
TERPIN,CHEMBL1651998,CC1(O)CCC(C(C)(C)O)CC1,not found,Expectorant,Small molecule,True,True,False,False,False,False,False,False
EDARAVONE,CHEMBL290916,CC1=NN(c2ccccc2)C(=O)C1,2017,,Small molecule,False,True,False,False,False,False,True,False
DEBRISOQUIN,CHEMBL169901,N=C(N)N1CCc2ccccc2C1,9999,DEBRISOQUIN SULFATE,Small molecule,False,True,False,False,False,False,False,False
DICHLOROBENZYL ALCOHOL,CHEMBL3184437,OCc1ccc(Cl)cc1Cl,not found,,Small molecule,False,True,False,False,False,False,False,False
PEMOLINE,CHEMBL1177,NC1=NC(=O)C(c2ccccc2)O1,1975,Stimulant (central),Small molecule,True,True,False,False,False,True,False,False
PHENMETRAZINE,CHEMBL1201208,CC1NCCOC1c1ccccc1,1982,PHENMETRAZINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
BETHANIDINE,CHEMBL1201260,C/N=C(\NC)NCc1ccccc1,1982,BETHANIDINE SULFATE,Small molecule,False,True,False,False,False,True,False,False
PHENACEMIDE,CHEMBL918,NC(=O)NC(=O)Cc1ccccc1,1951,Anticonvulsant,Small molecule,False,True,False,False,False,True,False,False
NIKETHAMIDE,CHEMBL2104607,CCN(CC)C(=O)c1cccnc1,not found,,Small molecule,True,True,False,False,False,False,False,False
AMYLMETACRESOL,CHEMBL1512677,CCCCCc1ccc(C)cc1O,not found,Antiseptic,Small molecule,True,True,False,False,False,False,False,True
PROPOFOL,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,1989,Anesthetic (intravenous),Small molecule,False,True,False,False,False,False,True,False
CARBOCYSTEINE,CHEMBL396416,N[C@@H](CSCC(=O)O)C(=O)O,not found,Mucolytic,Small molecule,True,True,False,False,False,False,False,False
GLUCOSAMINE,CHEMBL493287,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,9999,GLUCOSAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,True,False,False,False
IPRONIAZID,CHEMBL92401,CC(C)NNC(=O)c1ccncc1,1958.0,Antidepressant/Tuberculostatic,Small molecule,True,True,False,False,False,False,False,False
METHOXYPHENAMINE HYDROCHLORIDE,CHEMBL1985928,CNC(C)Cc1ccccc1OC,not found,,Small molecule,False,True,False,False,False,False,False,False
MEXILETINE,CHEMBL558,Cc1cccc(C)c1OCC(C)N,1985,MEXILETINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
RIMANTADINE,CHEMBL959,CC(N)C12CC3CC(CC(C3)C1)C2,1993,RIMANTADINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,2003,MEMANTINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
ASPIRIN,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,1950,Analgesic; Antirheumatic; Antipyretic,Small molecule,False,True,False,False,False,True,False,False
THEOPHYLLINE,CHEMBL190,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1940,THEOPHYLLINE SODIUM GLYCINATE,Small molecule,False,True,False,False,True,True,True,True
PROTIONAMIDE,CHEMBL1378024,CCCc1cc(C(N)=S)ccn1,not found,Antibacterial,Small molecule,False,True,False,False,False,False,False,False
ACAMPROSATE,CHEMBL1201293,CC(=O)NCCCS(=O)(=O)O,2004,ACAMPROSATE CALCIUM,Small molecule,False,True,False,False,False,True,False,False
PYRIDOSTIGMINE,CHEMBL1115,CN(C)C(=O)Oc1ccc[n+](C)c1,1955,PYRIDOSTIGMINE BROMIDE,Small molecule,False,True,False,False,False,True,True,False
ETILEFRINE,CHEMBL86882,CCNCC(O)c1cccc(O)c1,not found,,Small molecule,True,True,False,False,False,False,False,False
EFLORNITHINE,CHEMBL830,NCCCC(N)(C(=O)O)C(F)F,1990,EFLORNITHINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,True
DACARBAZINE,CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O,1975,Antineoplastic,Small molecule,False,True,False,False,False,False,True,False
MEPHENESIN,CHEMBL229128,Cc1ccccc1OCC(O)CO,not found,Parkinson,Small molecule,False,True,False,False,False,False,False,False
CHLORPHENTERMINE,CHEMBL1201269,CC(C)(N)Cc1ccc(Cl)cc1,1982,CHLORPHENTERMINE HYDROCHLORIDE,Small molecule,True,True,False,False,False,True,False,False
EPINEPHRINE,CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,1965,EPINEPHRINE BITARTRATE,Small molecule,False,True,False,False,False,False,True,True
LEVONORDEFRIN,CHEMBL677,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,1960,Adrenergic (vasoconstrictor),Small molecule,False,True,False,False,False,False,True,False
METHYPRYLON,CHEMBL1200790,CCC1(CC)C(=O)NCC(C)C1=O,1982,,Small molecule,False,True,False,False,False,True,False,False
ENFLURANE,CHEMBL1257,FC(F)OC(F)(F)C(F)Cl,1972,Anesthetic (inhalation),Small molecule,False,True,False,False,False,False,False,True
ISOFLURANE,CHEMBL1256,FC(F)OC(Cl)C(F)(F)F,1979,Anesthetic (inhalation),Small molecule,False,True,False,False,False,False,False,True
ISOFLUROPHATE,CHEMBL1025,CC(C)OP(=O)(F)OC(C)C,1957,Cholinergic (ophthalmic),Small molecule,False,True,False,False,False,False,False,True
BARBITAL,CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O,not found,,Small molecule,False,True,False,False,False,False,False,False
ABAMETAPIR,CHEMBL2205807,Cc1ccc(-c2ccc(C)cn2)nc1,2020,,Small molecule,False,True,False,False,False,False,False,True
SECNIDAZOLE,CHEMBL498847,Cc1ncc([N+](=O)[O-])n1CC(C)O,2017,,Small molecule,False,True,False,False,False,True,False,False
PIRFENIDONE,CHEMBL1256391,Cc1ccc(=O)n(-c2ccccc2)c1,2011,Antipyretic; Analgesic; Anti-Inflammatory,Small molecule,False,True,False,False,False,True,False,False
MAFENIDE,CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1,1969,MAFENIDE ACETATE,Small molecule,False,True,False,False,False,False,False,True
CARBIMAZOLE,CHEMBL508102,CCOC(=O)n1ccn(C)c1=S,not found,,Small molecule,False,True,False,False,False,False,False,False
INAMRINONE,CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,1984,INAMRINONE LACTATE,Small molecule,False,True,False,False,False,False,True,False
SELEGILINE,CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,1989,SELEGILINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,True
ANTIPYRINE,CHEMBL277474,Cc1cc(=O)n(-c2ccccc2)n1C,not found,Analgesic,Small molecule,True,True,False,False,False,False,False,False
AZELAIC ACID,CHEMBL1238,O=C(O)CCCCCCCC(=O)O,1995,Anti-Acne,Small molecule,False,True,False,False,False,False,False,True
THIOTEPA,CHEMBL671,S=P(N1CC1)(N1CC1)N1CC1,1959,Antineoplastic,Small molecule,False,True,False,False,False,False,True,False
PHENSUXIMIDE,CHEMBL797,CN1C(=O)CC(c2ccccc2)C1=O,1982,Anticonvulsant,Small molecule,False,True,False,False,False,True,False,False
DOBESILIC ACID,CHEMBL1232131,O=S(=O)(O)c1cc(O)ccc1O,9999,CALCIUM DOBESILATE,Small molecule,True,True,False,False,False,False,False,False
CARGLUMIC ACID,CHEMBL1201780,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,2010,,Small molecule,False,True,False,False,False,True,False,False
ISOSORBIDE MONONITRATE,CHEMBL1311,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,1991,Vasodilator (coronary),Small molecule,False,True,False,False,True,True,False,False
PHENDIMETRAZINE,CHEMBL1615439,C[C@H]1[C@H](c2ccccc2)OCCN1C,1976,PHENDIMETRAZINE TARTRATE,Small molecule,False,True,False,False,False,True,False,False
TOCAINIDE,CHEMBL1762,Cc1cccc(C)c1NC(=O)C(C)N,1984,TOCAINIDE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
ETAFEDRINE,CHEMBL2110926,CCN(C)C(C)C(O)c1ccccc1,not found,Adrenergic,Small molecule,True,True,False,False,False,False,False,False
TEMOZOLOMIDE,CHEMBL810,Cn1nnc2c(C(N)=O)ncn2c1=O,1999,,Small molecule,False,True,False,False,False,True,True,False
CAFFEINE,CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1948,"CAFFEINE, CITRATED",Small molecule,False,True,False,False,True,True,True,True
SOLRIAMFETOL,CHEMBL4297620,NC(=O)OC[C@H](N)Cc1ccccc1,2019,SOLRIAMFETOL HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False
HEXYLRESORCINOL,CHEMBL443605,CCCCCCc1ccc(O)cc1O,not found,Anthelmintic,Small molecule,False,True,False,False,False,False,False,False
LORCASERIN,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc21,2012,LORCASERIN HYDROCHLORIDE,Small molecule,True,True,False,False,False,True,False,False
METYROSINE,CHEMBL1200862,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,1979,Antihypertensive,Small molecule,False,True,False,False,False,True,False,False
HALOTHANE,CHEMBL931,FC(F)(F)C(Cl)Br,1958,Anesthetic (inhalation),Small molecule,False,True,False,False,False,False,False,True
CALCIUM GLUCONATE,CHEMBL2106119,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2017,Replenisher (calcium),Small molecule,False,True,False,False,False,False,True,False
BECLAMIDE,CHEMBL64195,O=C(CCCl)NCc1ccccc1,not found,,Small molecule,True,True,False,False,False,False,False,False
LEVODOPA,CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1970,Antiparkinsonian,Small molecule,False,True,False,False,False,True,False,False
NITROFURAZONE,CHEMBL869,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,1945,"Anti-Infective, Topical",Small molecule,True,True,False,False,False,False,False,True
GUAIFENESIN,CHEMBL980,COc1ccccc1OCC(O)CO,2002,Expectorant,Small molecule,False,True,False,False,False,True,False,False
METHARBITAL,CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1982,,Small molecule,False,True,False,False,False,True,False,False
